season,week,player_id,player_name,fantasy_points_ppr,fantasy_points,recent_team,opponent_team,passing_yards,rushing_yards,receiving_yards
2024,11,00-0038496,X.Gipson,2.7,1.7,NYJ,IND,0.0,0.0,17.0
2024,2,00-0038507,G.DuBose,2.3,1.3,MIA,BUF,0.0,0.0,13.0
2024,11,00-0038542,B.Robinson,10.3,6.3,ATL,DEN,0.0,35.0,28.0
2024,12,00-0038543,J.Smith-Njigba,19.7,13.7,SEA,ARI,0.0,0.0,77.0
2024,12,00-0038544,Q.Johnston,0.0,0.0,LAC,BAL,0.0,0.0,0.0
2024,13,00-0038547,L.Schoonmaker,8.3,3.3,DAL,NYG,0.0,0.0,33.0
2024,11,00-0038550,H.Hooker,1.78,1.78,DET,JAX,37.0,3.0,0.0
2024,8,00-0038551,K.Miller,1.6,1.6,NO,LAC,0.0,16.0,0.0
2024,10,00-0038555,T.Bigsby,0.4,0.4,JAX,MIN,0.0,4.0,0.0
2024,12,00-0038558,D.Washington,4.4,1.4,PIT,CLE,0.0,0.0,14.0
2024,12,00-0038559,M.Wilson,7.4,5.4,ARI,SEA,0.0,0.0,54.0
2024,13,00-0038563,T.Tucker,13.9,12.9,LV,KC,0.0,11.0,58.0
2024,12,00-0038573,D.Davis,2.4,0.4,LAC,BAL,0.0,0.0,4.0
2024,7,00-0038576,C.Jones,6.0,6.0,CIN,CLE,0.0,0.0,0.0
2024,13,00-0038579,A.O'Connell,19.6,19.6,LV,KC,340.0,0.0,0.0
2024,10,00-0038582,C.Tune,-0.1,-0.1,ARI,NYJ,0.0,-1.0,0.0
2024,11,00-0038583,D.Thompson-Robinson,0.0,0.0,CLE,NO,0.0,0.0,0.0
2024,11,00-0038589,J.Whyle,1.6,0.6,TEN,MIN,0.0,0.0,6.0
2024,11,00-0038597,C.Brown,19.3,14.3,CIN,LAC,0.0,86.0,57.0
2024,11,00-0038606,P.Washington,2.0,1.0,JAX,DET,0.0,0.0,10.0
2024,12,00-0038608,K.Boutte,1.6,0.6,NE,MIA,0.0,0.0,6.0
2024,10,00-0038611,C.Rodriguez,0.4,0.4,WAS,PIT,0.0,4.0,0.0
2024,8,00-0038614,S.Matlock,1.9,0.9,LAC,NO,0.0,0.0,9.0
2024,12,00-0038618,X.Hutchinson,0.0,0.0,HOU,TEN,0.0,0.0,0.0
2024,11,00-0038619,A.Iosivas,7.6,4.6,CIN,LAC,0.0,0.0,46.0
2024,12,00-0038621,D.Douglas,11.3,6.3,NE,MIA,0.0,1.0,62.0
2024,11,00-0038622,D.Vaughn,2.7,1.7,DAL,HOU,0.0,13.0,4.0
2024,7,00-0038636,K.McIntosh,0.5,0.5,SEA,ATL,0.0,5.0,0.0
2024,13,00-0038640,J.Brooks,1.0,0.0,DAL,NYG,0.0,0.0,0.0
2024,8,00-0038647,R.Bell,0.0,0.0,SF,DAL,0.0,0.0,0.0
2024,11,00-0038678,J.Mims,0.3,0.3,NO,CLE,0.0,3.0,0.0
2024,13,00-0038685,C.Brooks,4.9,2.9,GB,MIA,0.0,28.0,1.0
2024,12,00-0038705,E.Demercado,1.4,1.4,ARI,SEA,0.0,14.0,0.0
2024,12,00-0038710,B.Whiteheart,3.9,2.9,CLE,PIT,0.0,0.0,29.0
2024,13,00-0038720,J.Hill,1.5,0.5,MIA,GB,0.0,0.0,5.0
2024,13,00-0038738,H.Luepke,0.4,0.4,DAL,NYG,0.0,4.0,0.0
2024,12,00-0038752,J.Bobo,1.8,0.8,SEA,ARI,0.0,0.0,8.0
2024,11,00-0038783,N.Adkins,8.2,7.2,DEN,ATL,0.0,0.0,12.0
2024,12,00-0038794,J.McLaughlin,4.4,4.4,DEN,LV,0.0,44.0,0.0
2024,13,00-0038797,E.Wilson,2.0,2.0,GB,MIA,0.0,20.0,0.0
